"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[khmer]] the breeze clear of the rocks.",0.17794883251190186,0.5505683422088623,1,0,1,4,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[effected]] the rope stretch over the pulley.",0.04032975435256958,0.7105622291564941,1,0,1,5,"Successful"
"The mechanical doll wriggled itself loose.","The mechanical doll wriggled itself loose.",0.5692586898803711,0.5692586898803711,0,0,1,1,"Skipped"
"If you had eaten more, you would want [[less]].","If you had eaten more, you would want [[lowest]].",0.014619171619415283,0.7106457352638245,1,0,1,3,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.8494884967803955,0.8494884967803955,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.9856777191162109,0.9856777191162109,1,1,0,1,"Skipped"
"I demand that the more John [[eat]], the more he pays.","I demand that the more John [[ate]], the more he pays.",0.41246938705444336,0.8560264706611633,0,1,0,6,"Successful"
"Mary listens to the Grateful Dead, she [[gets]] [[depressed]].","Mary listens to the Grateful Dead, she [[get]] [[depressive]].",0.21353888511657715,0.9488799571990967,1,0,1,6,"Successful"
"The angrier Mary got, the more she looked at [[pictures]].","The angrier Mary got, the more she looked at [[picture]].",0.03144025802612305,0.8286791443824768,1,0,1,10,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[outlook]] are.",0.027360618114471436,0.33387720584869385,1,1,1,5,"Failed"
"The more Fred is obnoxious, the [[less]] attention you should pay to him.","The more Fred is obnoxious, the [[least]] attention you should pay to him.",0.2096807360649109,0.6543737649917603,1,0,1,6,"Successful"
"John was [[lots]] more obnoxious than Fred.","John was [[alot]] more obnoxious than Fred.",0.09288233518600464,0.6813757419586182,1,0,1,4,"Successful"
"The more people you [[give]] beer to, the more people [[get]] [[sick]].","The more people you [[confer]] beer to, the more people [[gets]] [[ill]].",0.019612550735473633,0.6755119562149048,1,0,1,8,"Successful"
"The more does Bill smoke, the more Susan hates him.","The more does Bill smoke, the more Susan hates him.",0.7812230587005615,0.7812230587005615,1,1,0,1,"Skipped"
"The more [[pictures]] of him that appear in the news, the more embarrassed John [[becomes]].","The more [[photograph]] of him that appear in the news, the more embarrassed John [[become]].",0.031248092651367188,0.7984341382980347,1,0,1,15,"Successful"
"[[Every]] senator seems to [[become]] more [[corrupt]], as he talks to more lobbyists.","[[Each]] senator seems to [[gotten]] more [[corrupted]], as he talks to more lobbyists.",0.18688863515853882,0.6446797847747803,1,0,1,8,"Successful"
"Who does John visit Sally because he [[likes]]?","Who does John visit Sally because he [[adores]]?",0.21813541650772095,0.37093985080718994,0,0,0,7,"Failed"
"Marianne did not [[leave]].","Marianne did not [[leaving]].",0.013763606548309326,0.9568241834640503,1,0,1,2,"Successful"
"He could not] have been working.","He could not] have been working.",0.6734277009963989,0.6734277009963989,0,0,1,1,"Skipped"
"He can not have been [[working]].","He can not have been [[collaborated]].",0.023494064807891846,0.8287035226821899,1,0,1,4,"Successful"
"You will [[believe]] Bob.","You will [[believing]] Bob.",0.018454134464263916,0.9519435167312622,1,0,1,4,"Successful"
"John has not [[kissed]] Mary.","John has not [[kissing]] Mary.",0.021984636783599854,0.6970939636230469,1,0,1,3,"Successful"
"I [[said]] that never in my [[life]] had I [[seen]] a place like Bangor.","I [[indicated]] that never in my [[vida]] had I [[watched]] a place like Bangor.",0.03292900323867798,0.24596089124679565,1,1,1,15,"Failed"
"Mickey looked up it.","Mickey looked up it.",0.20363587141036987,0.20363587141036987,0,0,0,2,"Failed"
"There [[tended]] to be a lot of discussion.","There [[tending]] to be a lot of discussion.",0.013911902904510498,0.7677720189094543,1,0,1,4,"Successful"
"John [[tried]] to be a good boy.","John [[attempting]] to be a good boy.",0.033416748046875,0.9677309393882751,1,0,1,3,"Successful"
"John is eager.","John is eager.",0.1192747950553894,0.1192747950553894,1,1,1,1,"Failed"
"We [[want]] John to win.","We [[wanting]] John to win.",0.01501929759979248,0.9502670168876648,1,0,1,7,"Successful"
"The box contained the ball from the [[tree]].","The box contained the ball from the [[trees]].",0.3673033118247986,0.39750921726226807,0,0,0,4,"Failed"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9474502801895142,0.9474502801895142,1,1,0,1,"Skipped"
"Water bubbled up out of the kettle.","Water bubbled up out of the kettle.",0.018992960453033447,0.018992960453033447,1,1,1,1,"Failed"
"The tub leaked water.","The tub leaked water.",0.013918280601501465,0.013918280601501465,1,1,1,3,"Failed"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.92221999168396,0.92221999168396,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.8359268307685852,0.8359268307685852,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[leaking]] the fluid free.",0.22702163457870483,0.7778791785240173,1,0,1,4,"Successful"
"John lay the ball in the box.","John lay the ball in the box.",0.029985249042510986,0.029985249042510986,1,1,1,1,"Failed"
"John owns the [[book]].","John owns the [[books]].",0.017779290676116943,0.020482897758483887,1,1,1,3,"Failed"
"We persuaded Mary to leave and [[Sue]] to [[stay]].","We persuaded Mary to leave and [[Sues]] to [[staying]].",0.06504112482070923,0.8893547654151917,1,0,1,5,"Successful"
"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.922370195388794,0.922370195388794,0,0,1,1,"Skipped"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.9494431018829346,0.9494431018829346,1,1,0,1,"Skipped"
"[[Clearly]], John [[probably]] will immediately learn French perfectly.","[[Definitely]], John [[possibly]] will immediately learn French perfectly.",0.20577865839004517,0.6834888458251953,1,0,1,31,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.6334016919136047,0.6334016919136047,1,1,0,1,"Skipped"
"The men will all [[leave]].","The men will all [[leaving]].",0.01546388864517212,0.8118485808372498,1,0,1,2,"Successful"
"John went home.","John went home.",0.011493921279907227,0.011493921279907227,1,1,1,1,"Failed"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a genuine linguist.","They [[represent]] [[conscientiously]] to the dean [[Mariam]] as a genuine linguist.",0.06331521272659302,0.5956695079803467,0,1,0,14,"Successful"
"Us love they.","Us love they.",0.14991986751556396,0.14991986751556396,0,0,0,1,"Failed"
