"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"The sailors [[rode]] the breeze clear of the rocks.","The sailors [[rouge]] the breeze clear of the rocks.",0.01867973804473877,0.8507928848266602,1,0,1,17,"Successful"
"The weights [[made]] the rope stretch over the pulley.","The weights [[been]] the rope stretch over the pulley.",0.014577746391296387,0.976096510887146,1,0,1,57,"Successful"
"[[The]] mechanical doll wriggled itself loose.","[[Both]] mechanical doll wriggled itself loose.",0.028565943241119385,0.9578585624694824,1,0,1,7,"Successful"
"If you had eaten more, you would want [[less]].","If you had eaten more, you would want [[fewest]].",0.020739495754241943,0.864294171333313,1,0,1,28,"Successful"
"As you eat the most, you want the least.","As you eat the most, you want the least.",0.5815624594688416,0.5815624594688416,1,1,0,1,"Skipped"
"The more you would want, the less you would eat.","The more you would want, the less you would eat.",0.8655928373336792,0.8655928373336792,1,1,0,1,"Skipped"
"I demand that the more John eat, the more he pays.","I demand that the more John eat, the more he pays.",0.7048403024673462,0.7048403024673462,1,1,0,1,"Skipped"
"Mary [[listens]] to the Grateful Dead, she gets depressed.","Mary [[admire]] to the Grateful Dead, she gets depressed.",0.10996681451797485,0.9772518873214722,1,0,1,38,"Successful"
"The angrier Mary got, the more she [[looked]] at pictures.","The angrier Mary got, the more she [[examine]] at pictures.",0.02179563045501709,0.9683627486228943,1,0,1,56,"Successful"
"The higher the stakes, the lower his [[expectations]] are.","The higher the stakes, the lower his [[hope]] are.",0.038995206356048584,0.8322126269340515,1,0,1,56,"Successful"
"The more [[Fred]] is obnoxious, the less attention you should pay to him.","The more [[Fried]] is obnoxious, the less attention you should pay to him.",0.10873967409133911,0.8677673935890198,1,0,1,14,"Successful"
"[[John]] was lots more [[obnoxious]] than [[Fred]].","[[Jean]] was lots more [[dreadful]] than [[Fried]].",0.033116817474365234,0.703162431716919,1,0,1,75,"Successful"
"The more people you give beer to, the more people get [[sick]].","The more people you give beer to, the more people get [[freak]].",0.018573343753814697,0.643653154373169,1,0,1,43,"Successful"
"The more does Bill smoke, the more [[Susan]] hates him.","The more does Bill smoke, the more [[Jody]] hates him.",0.47047334909439087,0.5687707662582397,0,1,0,21,"Successful"
"The more [[pictures]] of him that appear in the news, the more embarrassed John becomes.","The more [[image]] of him that appear in the news, the more embarrassed John becomes.",0.020456373691558838,0.6688823699951172,1,0,1,38,"Successful"
"Every senator seems to become more corrupt, as he [[talks]] to more lobbyists.","Every senator seems to become more corrupt, as he [[interviewing]] to more lobbyists.",0.037934184074401855,0.9461714625358582,1,0,1,58,"Successful"
"Who does John visit Sally because he likes?","Who does John visit Sally because he likes?",0.965753436088562,0.965753436088562,1,1,0,1,"Skipped"
"Marianne [[did]] not leave.","Marianne [[been]] not leave.",0.013359248638153076,0.9814283847808838,1,0,1,34,"Successful"
"He could not] [[have]] been working.","He could not] [[obtains]] been working.",0.20687717199325562,0.9774336814880371,1,0,1,37,"Successful"
"[[He]] can not have been working.","[[Her]] can not have been working.",0.021685361862182617,0.9157273769378662,1,0,1,7,"Successful"
"You will believe [[Bob]].","You will believe [[Pope]].",0.013309359550476074,0.8455923795700073,1,0,1,20,"Successful"
"John [[has]] not kissed Mary.","John [[got]] not kissed Mary.",0.01751154661178589,0.9799447655677795,1,0,1,28,"Successful"
"I [[said]] that never in my life had I seen a place like Bangor.","I [[declaring]] that never in my life had I seen a place like Bangor.",0.01497715711593628,0.9650044441223145,1,0,1,59,"Successful"
"Mickey looked up it.","Mickey looked up it.",0.6297764778137207,0.6297764778137207,1,1,0,1,"Skipped"
"There tended to be a [[lot]] of discussion.","There tended to be a [[multiple]] of discussion.",0.02347242832183838,0.7521524429321289,1,0,1,21,"Successful"
"John [[tried]] to be a good boy.","John [[tempt]] to be a good boy.",0.014567434787750244,0.9788445234298706,1,0,1,42,"Successful"
"[[John]] is [[eager]].","[[Juana]] is [[wish]].",0.013408005237579346,0.9792651534080505,1,0,1,50,"Successful"
"We [[want]] John to win.","We [[does]] John to win.",0.012250959873199463,0.980917751789093,1,0,1,53,"Successful"
"The box contained the ball from the [[tree]].","The box contained the ball from the [[shu]].",0.17558687925338745,0.8179404735565186,0,1,0,18,"Successful"
"The tube was escaped by gas.","The tube was escaped by gas.",0.9647376537322998,0.9647376537322998,1,1,0,1,"Skipped"
"[[Water]] bubbled up out of the kettle.","[[Aquatic]] bubbled up out of the kettle.",0.01370251178741455,0.8715863227844238,1,0,1,14,"Successful"
"The tub [[leaked]] water.","The tub [[getaway]] water.",0.015450119972229004,0.9733240008354187,1,0,1,30,"Successful"
"What the water did to the bottle was fill it.","What the water did to the bottle was fill it.",0.967238187789917,0.967238187789917,1,1,0,1,"Skipped"
"What the water did to the whole bottle was fill it.","What the water did to the whole bottle was fill it.",0.9370178580284119,0.9370178580284119,1,1,0,1,"Skipped"
"The tank [[leaked]] the fluid free.","The tank [[getaway]] the fluid free.",0.05910414457321167,0.9788668751716614,1,0,1,32,"Successful"
"John [[lay]] the ball in the box.","John [[unscientific]] the ball in the box.",0.009619176387786865,0.9783725738525391,1,0,1,9,"Successful"
"John [[owns]] the book.","John [[incumbent]] the book.",0.012386560440063477,0.9793948531150818,1,0,1,45,"Successful"
"We persuaded [[Mary]] to leave and Sue to stay.","We persuaded [[Married]] to leave and Sue to stay.",0.02441960573196411,0.9668093323707581,1,0,1,28,"Successful"
"Most [[people]] probably consider, even though the courts didn't actually find, Klaus guilty of murder.","Most [[person]] probably consider, even though the courts didn't actually find, Klaus guilty of murder.",0.35796529054641724,0.91878342628479,1,0,1,50,"Successful"
"Mary beautifully plays the violin.","Mary beautifully plays the violin.",0.8755080103874207,0.8755080103874207,1,1,0,1,"Skipped"
"Clearly, [[John]] probably will immediately [[learn]] French perfectly.","Clearly, [[Yin]] probably will immediately [[studying]] French perfectly.",0.03949916362762451,0.9630231261253357,1,0,1,72,"Successful"
"Sue gave to Bill a book.","Sue gave to Bill a book.",0.9681578874588013,0.9681578874588013,1,1,0,1,"Skipped"
"The men will all [[leave]].","The men will all [[permitting]].",0.013497591018676758,0.9747896194458008,1,0,1,55,"Successful"
"John [[went]] home.","John [[took]] home.",0.008256614208221436,0.9713704586029053,1,0,1,34,"Successful"
"They [[represented]] [[seriously]] to the dean [[Mary]] as a [[genuine]] linguist.","They [[pose]] [[fervently]] to the dean [[Marija]] as a [[valid]] linguist.",0.027220070362091064,0.8380006551742554,0,1,0,143,"Successful"
"Us [[love]] they.","Us [[amore]] they.",0.10735243558883667,0.14383000135421753,0,0,0,12,"Failed"
"It is [[nice]] to go abroad.","It is [[charmer]] to go abroad.",0.015229582786560059,0.9175170660018921,1,0,1,48,"Successful"
"Mary intended John to go abroad.","Mary intended John to go abroad.",0.9745461344718933,0.9745461344718933,1,1,0,1,"Skipped"
"I [[remembered]] having kissed Mary.","I [[reminding]] having kissed Mary.",0.013899385929107666,0.9798865914344788,1,0,1,50,"Successful"
"I can't [[believe]] Fred won't, either.","I can't [[noticing]] Fred won't, either.",0.03723877668380737,0.9678735136985779,1,0,1,41,"Successful"
"John [[wants]] to read Fred's story, and I also want to.","John [[does]] to read Fred's story, and I also want to.",0.015838921070098877,0.9748992323875427,1,0,1,55,"Successful"
"We [[wanted]] to [[invite]] [[someone]], but we couldn't [[decide]] who to.","We [[loved]] to [[please]] [[everyone]], but we couldn't [[pick]] who to.",0.15688246488571167,0.3094364404678345,0,0,0,170,"Failed"
"Mary will [[read]] Fred's story, and Joe will [[read]] Holly's.","Mary will [[reading]] Fred's story, and Joe will [[leer]] Holly's.",0.01418977975845337,0.8958857655525208,1,0,1,46,"Successful"
"Mary [[claimed]] that eating cabbage, Holly shouldn't.","Mary [[inquired]] that eating cabbage, Holly shouldn't.",0.1035081148147583,0.948344886302948,1,0,1,56,"Successful"
"Mary came to be introduced by the bartender and I also came to [[be]].","Mary came to be introduced by the bartender and I also came to [[come]].",0.10171955823898315,0.94095379114151,0,1,0,40,"Successful"
"If I can, [[I]] will work on it.","If I can, [[me]] will work on it.",0.01649719476699829,0.968357503414154,1,0,1,7,"Successful"
"Joe's [[neuroses]] bother his [[patrons]], and Sally does too.","Joe's [[paranoid]] bother his [[eaters]], and Sally does too.",0.031052052974700928,0.7701330184936523,1,0,1,70,"Successful"
"I know which book José didn't read for class, and which book Lilly did it for him.","I know which book José didn't read for class, and which book Lilly did it for him.",0.6887984275817871,0.6887984275817871,1,1,0,1,"Skipped"
"This is the [[book]] which Bob [[reviewed]], and this is the one which Fred won't do it.","This is the [[textbook]] which Bob [[scrutinize]], and this is the one which Fred won't do it.",0.39076656103134155,0.5690616965293884,0,1,0,77,"Successful"
"I [[know]] which book Mag read, and which book Bob said that you hadn't.","I [[acknowledging]] which book Mag read, and which book Bob said that you hadn't.",0.31406813859939575,0.9679996967315674,1,0,1,59,"Successful"
"I know which [[book]] Mag [[read]], and which [[book]] [[Bob]] read my [[report]] that you hadn't.","I know which [[livres]] Mag [[lire]], and which [[bookie]] [[Pontiff]] read my [[communique]] that you hadn't.",0.23946964740753174,0.6365168690681458,0,1,0,143,"Successful"
"I'm [[sure]] I would like him to eat fruit more than I would cookies.","I'm [[safest]] I would like him to eat fruit more than I would cookies.",0.028246939182281494,0.902643084526062,1,0,1,13,"Successful"
"Rusty [[talked]] about himself only after Mary did talk about him.","Rusty [[say]] about himself only after Mary did talk about him.",0.3481319546699524,0.9708293676376343,1,0,1,54,"Successful"
